path,name,extension,size_bytes,size_mb,classification,reason
checkpoints/2v2/ckpt_v6i7-sparse-main_2v2_950000.zip,ckpt_v6i7-sparse-main_2v2_950000.zip,.zip,42432254,40.47,KEEP,periodic checkpoint at step 950000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_100000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_100000.zip,.zip,45207888,43.11,ARCHIVE,"early periodic checkpoint at step 100000 — non-final, low-step"
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_1000000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_1000000.zip,.zip,45208031,43.11,KEEP,periodic checkpoint at step 1000000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_150000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_150000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 150000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_200000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_200000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 200000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_250000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_250000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 250000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_300000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_300000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 300000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_350000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_350000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 350000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_400000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_400000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 400000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_450000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_450000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 450000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_50000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_50000.zip,.zip,45207745,43.11,ARCHIVE,"early periodic checkpoint at step 50000 — non-final, low-step"
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_500000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_500000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 500000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_550000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_550000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 550000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_600000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_600000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 600000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_650000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_650000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 650000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_700000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_700000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 700000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_750000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_750000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 750000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_800000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_800000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 800000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_850000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_850000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 850000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_900000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_900000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 900000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_950000.zip,ckpt_v6i8-adapter-balanced-hardpool-seed1_2v2_950000.zip,.zip,45207888,43.11,KEEP,periodic checkpoint at step 950000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_100000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_100000.zip,.zip,42032444,40.09,ARCHIVE,"early periodic checkpoint at step 100000 — non-final, low-step"
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_1000000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_1000000.zip,.zip,42032547,40.09,KEEP,periodic checkpoint at step 1000000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_150000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_150000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 150000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_200000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_200000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 200000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_250000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_250000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 250000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_300000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_300000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 300000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_350000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_350000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 350000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_400000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_400000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 400000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_450000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_450000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 450000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_50000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_50000.zip,.zip,42032149,40.08,ARCHIVE,"early periodic checkpoint at step 50000 — non-final, low-step"
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_500000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_500000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 500000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_550000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_550000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 550000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_600000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_600000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 600000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_650000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_650000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 650000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_700000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_700000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 700000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_750000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_750000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 750000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_800000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_800000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 800000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_850000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_850000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 850000
checkpoints/2v2/ckpt_v6i8-adapter-balanced-seed1_2v2_900000.zip,ckpt_v6i8-adapter-balanced-seed1_2v2_900000.zip,.zip,42032444,40.09,KEEP,periodic checkpoint at step 900000
