episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,48620-1783180084075903600,48620,1048992,16,104,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP8,7,1,3,1,2,104,0.7599999904632568,1,0,1,30,2,8,2,9,1,2,0,3,1,2,0,1,1,1,0,5,32.0,5.49159651536208,1.0,0.5,-0.027769818902015686,0.014999999664723873,1.0,100.0,0.0,0.5540468692779541
2,48620-1783180084075903600,48620,1048996,16,105,2,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,1,2,105,0.6800000071525574,1,0,4,22,1,11,4,5,1,3,0,3,0,2,1,0,1,0,1,3,37.0,6.263238234747024,1.0,0.5,-0.007625356316566467,0.0,1.0,100.0,0.0,0.5542696714401245
3,48620-1783180084075903600,48620,1049240,16,166,0,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,1,2,166,0.7999999523162842,1,0,6,45,14,4,10,3,6,2,1,2,1,0,3,0,0,1,5,2,108.0,6.425331207643072,1.0,0.5,-0.007549837231636047,0.0,1.0,100.0,0.0,0.5542729496955872
4,48620-1783180084075903600,48620,1049316,16,185,1,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP8,7,1,3,1,2,185,0.7999999523162842,1,0,6,60,3,17,1,14,2,6,0,3,1,2,0,4,0,1,1,6,132.0,6.241902449324324,1.0,0.5,0.0014791339635849,0.0,1.0,100.0,0.0,0.5546637177467346
5,48620-1783180084075903600,48620,1049420,16,211,0,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP9,8,1,3,0,3,107,0.5999999642372131,0,1,1,26,4,6,2,8,2,3,1,2,0,0,0,0,0,0,2,7,36.0,6.000564717800818,1.0,0.5,-0.0019503086805343628,0.0,1.0,100.0,-0.20000000298023224,0.5189327001571655
6,48620-1783180084075903600,48620,1049532,16,239,3,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP10,9,1,3,1,2,134,0.7999999523162842,1,0,2,38,5,7,5,5,2,2,2,1,0,2,1,0,1,0,3,4,43.0,6.112188993994869,1.0,0.5,-0.0043822526931762695,0.0,1.0,100.0,0.0,0.5544100999832153
7,48620-1783180084075903600,48620,1049756,17,39,2,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP8,7,1,3,1,2,110,0.4399999976158142,1,0,4,32,0,12,2,12,0,4,0,3,0,3,1,2,1,0,0,9,35.0,5.631688898259943,1.0,0.5,-0.00484311580657959,0.0,1.0,100.0,0.0,0.5543900728225708
8,48620-1783180084075903600,48620,1049916,17,79,0,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP9,8,1,3,0,3,96,0.7199999690055847,0,1,5,25,5,9,4,10,3,4,1,2,0,0,0,3,0,0,2,5,33.0,5.830752054850261,1.0,0.5,-0.0056771934032440186,0.0,1.0,100.0,-0.20000000298023224,0.5187625288963318
9,48620-1783180084075903600,48620,1049964,17,91,1,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,1,2,136,0.7599999904632568,1,0,4,48,11,5,14,2,3,3,2,1,2,0,4,0,1,0,9,2,32.0,6.362363029928768,1.0,0.5,-0.007272616028785706,0.0,1.0,100.0,0.0,0.554284930229187
10,48620-1783180084075903600,48620,1049984,17,96,1,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,0,3,186,0.6800000071525574,1,0,3,47,6,16,2,16,4,7,1,2,0,0,1,4,0,0,1,10,38.0,6.18813725953461,1.0,0.5,-0.009853705763816833,0.0,1.0,100.0,0.0,0.5541731715202332
