episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,40536-1783161550015348100,40536,1069444,36,97,2,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,1,2,97,0.6800000071525574,1,0,5,27,1,7,3,7,1,1,0,3,0,2,1,2,0,1,1,3,37.0,6.835678257893041,1.0,0.5,-0.007867753505706787,0.0,1.0,100.0,0.0,0.554259181022644
2,40536-1783161550015348100,40536,1069472,36,104,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP8,7,1,3,1,2,104,0.7599999904632568,1,0,1,30,2,8,2,9,1,2,0,3,1,2,0,1,1,1,0,5,32.0,5.49159651536208,1.0,0.5,-0.027769818902015686,0.014999999664723873,1.0,100.0,0.0,0.5540468692779541
3,40536-1783161550015348100,40536,1069720,36,166,0,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,1,2,166,0.7999999523162842,1,0,5,44,14,6,10,3,6,2,1,2,1,2,3,0,0,1,5,2,108.0,6.277259918580572,1.0,0.5,-0.007390692830085754,0.0,1.0,100.0,-0.20000000298023224,0.5186842679977417
4,40536-1783161550015348100,40536,1069796,36,185,1,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP8,7,1,3,1,2,185,0.7999999523162842,1,0,6,60,3,17,1,14,2,6,0,3,1,2,0,4,0,1,1,6,132.0,6.241902449324324,1.0,0.5,0.0014791339635849,0.0,1.0,100.0,0.0,0.5546637177467346
5,40536-1783161550015348100,40536,1069928,36,218,3,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP9,8,1,3,0,3,121,0.6800000071525574,0,2,8,35,10,4,6,10,5,2,2,1,0,0,0,3,0,0,5,4,36.0,6.3211770806430785,1.0,0.5,-0.007056325674057007,0.0,1.0,100.0,-0.20000000298023224,0.5186995267868042
6,40536-1783161550015348100,40536,1070128,37,12,0,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP10,9,1,3,1,2,164,0.7599999904632568,1,0,3,69,8,8,5,11,3,3,2,1,2,0,0,2,0,1,4,7,34.0,5.655708499071075,1.0,0.5,-0.009390562772750854,0.0,1.0,100.0,0.0,0.5541932582855225
7,40536-1783161550015348100,40536,1070204,37,31,1,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,0,3,121,0.6399999856948853,1,0,4,26,2,11,0,18,2,5,0,3,0,0,0,4,0,0,0,14,38.0,6.343288957580062,1.0,0.5,-0.007926210761070251,0.0,1.0,100.0,0.0,0.5542566776275635
8,40536-1783161550015348100,40536,1070236,37,39,2,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP8,7,1,3,1,2,110,0.4399999976158142,1,0,4,32,0,12,2,12,0,4,0,3,0,3,1,2,1,0,0,9,35.0,5.631688898259943,1.0,0.5,-0.00484311580657959,0.0,1.0,100.0,0.0,0.5543900728225708
9,40536-1783161550015348100,40536,1070424,37,86,0,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,2,1,124,0.7999999523162842,1,0,4,37,1,13,5,8,1,4,0,3,0,4,2,0,1,1,1,6,32.0,6.1182777650894655,1.0,0.0,-0.00048698484897613525,0.0,0.0,0.0,0.0,0.244890034198761
10,40536-1783161550015348100,40536,1070620,37,135,3,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,1,2,96,0.6800000071525574,0,1,2,27,2,7,1,12,1,2,0,3,1,1,0,2,1,0,0,7,34.0,5.811079025268555,1.0,0.5,-0.010431066155433655,0.0,1.0,100.0,0.0,0.5541481971740723
11,40536-1783161550015348100,40536,1070836,37,189,1,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP10,9,1,3,1,2,103,0.7599999904632568,1,0,4,24,2,14,4,7,2,5,0,3,0,1,1,0,1,0,0,6,33.0,5.588873113243325,1.0,0.5,-0.005925968289375305,0.0,1.0,100.0,-0.20000000298023224,0.5187511444091797
12,40536-1783161550015348100,40536,1070852,37,193,2,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP9,8,1,3,1,2,162,0.5999999642372131,1,0,4,24,0,19,0,11,0,8,0,3,0,2,0,1,0,1,0,7,97.0,5.83902128243152,1.0,0.5,-0.010055914521217346,0.0,1.0,100.0,0.0,0.5541644096374512
13,40536-1783161550015348100,40536,1071076,37,249,1,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP9,8,1,3,0,3,237,0.8399999737739563,1,0,1,59,8,16,3,14,4,8,2,1,0,0,0,4,0,0,3,6,33.0,6.304935761141878,1.0,0.5,-0.007609352469444275,0.0,1.0,100.0,0.0,0.5542702674865723
14,40536-1783161550015348100,40536,1071228,38,31,2,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP9,8,1,3,1,2,98,0.7199999690055847,1,0,3,24,2,5,0,11,2,0,0,3,0,2,0,1,0,1,0,7,34.0,5.926802654655612,1.0,0.5,-0.009471967816352844,0.0,1.0,100.0,0.0,0.5541896820068359
15,40536-1783161550015348100,40536,1071408,38,76,3,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,1,2,139,0.6800000071525574,1,0,2,56,2,12,3,12,1,4,1,2,0,2,0,4,1,0,2,4,35.0,5.4368839401135345,1.0,0.5,0.00663013756275177,0.0,1.0,100.0,-0.20000000298023224,0.5193244814872742
