exp2_n_ppo_actor_updates,exp2_n_teacher_updates,exp2_teacher_to_ppo_ratio,exp2_teacher_loss,exp2_teacher_kl,exp2_teacher_kl_z0,exp2_teacher_kl_z1,exp2_teacher_agreement_z0,exp2_teacher_agreement_z1,exp2_teacher_rows_z0,exp2_teacher_rows_z1,exp2_teacher_active_heads,exp2_teacher_active_heads_z0,exp2_teacher_active_heads_z1,exp2_cell_count_z0_A,exp2_cell_count_z0_B,exp2_cell_count_z1_A,exp2_cell_count_z1_B,exp2_cell_steps_z0_A,exp2_cell_steps_z0_B,exp2_cell_steps_z1_A,exp2_cell_steps_z1_B,exp2b_gradient_cosine_last,exp2b_gradient_cosine_mean,exp2b_gradient_cosine_p10,exp2b_gradient_cosine_p50,exp2b_gradient_cosine_p90,exp2b_gradient_cosine_count,exp2c_private_heads_active,exp2c_private_head_count,exp2c_head0_max_abs_delta,exp2c_head1_max_abs_delta,exp2c_head0_teacher_grad_norm,exp2c_head1_teacher_grad_norm,sappo_n_ppo_actor_updates,sappo_n_anchor_updates,sappo_anchor_to_ppo_ratio,sappo_anchor_loss,sppo_n_ppo_actor_updates,sppo_n_rank_updates,sppo_rank_to_ppo_ratio,sppo_rank_loss,sppo_rank_activation_rate,sppo_delta_A,sppo_delta_B,sppo_lambda_rank,sppo_margin,update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,54924-1788705804587025400,54924,2048,0,0,0,0,0.0,0.0,0.0,0.000985211692750454,0.033334825187921524,0.11110475659370422,0.1497517079114914,0,0,0,0,0.0,0.0,0.0,0.0,-0.020614027976989746,0.0,0.0029296875,9.143003262579441e-05,0.017882496118545532,0.0021972658578306437,0.2197265625,-0.005441405810415745,0.0,0.0,0.0,0.0,0.000985211692750454,0.0021972658578306437,0.007423169037792832,3.3768295182996555,1.0,2.475317437621303,-0.021003644011216238,0.020944841438904405,0.01747959852218628,0.0019175326451659203,0.018180834129452705,0.02075890824198723,0.023471299558877945,0.023620979860424995,0.0,0.0,0.0,6.775119930505753,0.007662610318220686,0.05615234375,0.20258162450045347,0.000374232,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15128733217716217,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54924-1788705804587025400,54924,4096,16,7,1,8,0.4375,0.4375,0.4375,0.00036771519808098674,0.021277854219079018,0.11531703919172287,0.11973640322685242,16,7,1,8,0.4375,0.5,0.75,0.25,-0.055777788162231445,0.0009765625,0.000244140625,-0.0016272834036499262,0.03423114866018295,-0.00341796875,-0.341796875,-0.004464843776077032,0.0,0.0,0.0,0.0,0.00036771519808098674,-0.00244140625,0.008395106939133257,3.4372279137155237,1.0,1.8280512408928826,-0.020452415832551196,0.013139078160747886,0.010520923882722855,0.001551726134493947,0.01088172197341919,0.013373881578445435,0.014774471521377563,0.015835126861929893,0.0,0.0,0.0,5.501552999019623,0.011455169340479188,0.1011962890625,0.24121809471398592,0.000373464,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1230304092168808,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,54924-1788705804587025400,54924,6144,16,7,1,8,0.4375,0.4375,0.4375,0.00019226258154958487,0.027004897594451904,0.09862232208251953,0.13449440896511078,0,0,0,0,0.0,0.0,0.0,0.0,0.11257034540176392,0.0,0.0020996094681322575,-0.0013486016541719437,0.021967440843582153,-0.0006347654853016138,-0.0634765625,-0.0057207029312849045,0.0,0.0,0.0,0.0,0.00019226258154958487,-0.0006347654853016138,0.00725431926548481,11.410369756142526,1.0,8.998133845801558,-0.030138085188809782,0.015960406220983714,0.012018317356705666,0.0017841015942394733,0.014011507853865623,0.01601988822221756,0.01768089085817337,0.019796090200543404,0.0,0.0,0.0,7.026424080133438,0.01491842662653653,0.12890625,0.355188662186265,0.000372696,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.12669841945171356,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,54924-1788705804587025400,54924,8192,32,12,2,18,0.375,0.375,0.375,6.612818106077611e-05,0.027268599718809128,0.10637187212705612,0.1619202345609665,16,5,1,10,0.3125,0.4375,0.625,0.1875,0.17519915103912354,-0.00048828125,0.0018554688431322575,-0.0010437117889523506,0.029283583164215088,-0.00332031212747097,-0.33203125,-0.004771484527736902,0.0,0.0,0.0,0.0,6.612818106077611e-05,-0.00380859337747097,0.008915436686947942,2.340259393475355,1.0,1.2524918160437615,-0.02800656604813412,0.02052405325230211,0.015953216701745987,0.002280524466186762,0.017636669799685478,0.020540345460176468,0.02333362028002739,0.024060914292931557,0.0,0.0,0.0,5.8380060493946075,0.01217050133709563,0.1083984375,0.3437289297580719,0.000371928,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.14705361425876617,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,54924-1788705804587025400,54924,10240,32,12,2,18,0.375,0.375,0.375,0.0006957165896892548,0.028194645419716835,0.09704238176345825,0.16269759833812714,0,0,0,0,0.0,0.0,0.0,0.0,0.19161367416381836,0.0,0.0018066405318677425,-0.0015193945728242397,0.028289787471294403,-0.0004882813664153218,-0.048828125,-0.0050703128799796104,0.0,0.0,0.0,0.0,0.0006957165896892548,-0.0004882813664153218,0.008499238756485283,17.37086130778744,1.0,10.362775343616342,-0.02359052002429962,0.021202277248868577,0.018945451825857162,0.001431446522474289,0.0193023644387722,0.02125236764550209,0.022995686158537865,0.024082329124212265,0.0,0.0,0.0,6.130816459655762,0.014024256039052628,0.11162860576923077,0.49367373952498805,0.00037116,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.146281898021698,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,54924-1788705804587025400,54924,12288,48,19,3,26,0.3958333333333333,0.3958333333333333,0.3958333333333333,0.001230049878358841,0.026314787566661835,0.12609457969665527,0.17750167846679688,16,7,1,8,0.4375,0.5,0.625,0.125,0.35130876302719116,0.0009765625,0.0020507811568677425,-0.0010929550044238567,0.02636616677045822,0.000732421875,0.0732421875,-0.00496289087459445,0.0,0.0,0.0,0.0,0.001230049878358841,0.001708984375,0.008369084098376334,4.894245947935246,1.0,2.9023018848312283,-0.027500873227836564,0.018906292971223593,0.016096055507659912,0.0018418431282043457,0.016763105988502502,0.018396850675344467,0.021606359630823135,0.022894810885190964,0.0,0.0,0.0,6.08903232216835,0.018114398066245485,0.1513671875,0.4622843712568283,0.00037039200000000004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1429622918367386,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,54924-1788705804587025400,54924,14336,50,21,3,26,0.42,0.42,0.42,0.0008087392779998481,0.03867696225643158,0.14779430627822876,0.21044579148292542,2,2,0,0,1.0,2.5,3.0,0.5,0.35898375511169434,0.0009765625,0.001513671944849193,-0.0018623045179992914,0.023529844358563423,0.0009277344215661287,0.0927734375,-0.005277344025671482,0.0,0.0,0.0,0.0,0.0008087392779998481,0.0019042969215661287,0.006930556904990226,3.637520654415061,1.0,2.7698276137105053,-0.03382272116141394,0.02732949110213667,0.022213002666831017,0.002037166152149439,0.024983853101730347,0.027868181467056274,0.02938148006796837,0.030492575839161873,0.0,0.0,0.0,6.447569400072098,0.016454024997074157,0.14404296875,0.4258947428315878,0.000369624,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1684902459383011,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,54924-1788705804587025400,54924,16384,64,27,5,32,0.421875,0.42,0.421875,0.0002769326383713633,0.03824979439377785,0.1572505086660385,0.27569618821144104,14,6,2,6,0.42857142857142855,0.35714285714285715,0.8571428571428571,0.5,0.3898400664329529,0.00048828125,0.00244140625,-0.0007679671980440617,0.02022811770439148,-0.0013183592818677425,-0.1318359375,-0.0053105466067790985,0.0,0.0,0.0,0.0,0.0002769326383713633,-0.0008300780318677425,0.0073064438765868545,8.791525700861744,1.0,6.389949442947395,-0.026134669064329222,0.045188981180007644,0.03694750368595123,0.0038227145560085773,0.04142552986741066,0.04482249543070793,0.04957268014550209,0.05239354446530342,0.0,0.0,0.0,6.483113032120925,0.013600805066884138,0.11868990384615384,0.4792893872811244,0.00036885600000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.2153538316488266,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,54924-1788705804587025400,54924,18432,67,30,5,32,0.44776119402985076,0.46,0.44776119402985076,0.0003233874449506402,0.025060545653104782,0.11892183125019073,0.1857336461544037,3,3,0,0,1.0,1.3333333333333333,2.0,0.6666666666666666,0.5866855382919312,0.00146484375,0.0007812499534338713,-0.0022410128731280565,0.031217530369758606,-0.003320312360301614,-0.33203125,-0.004710937384516001,0.0,0.0,0.0,0.0,0.0003233874449506402,-0.0018554686103016138,0.008025379327591509,4.322927564225099,1.0,2.5375798752399223,-0.03042231666456376,0.014100512423153435,0.011354783549904823,0.0018475849647074938,0.011771569959819317,0.014184330590069294,0.01668069325387478,0.017326412722468376,0.0,0.0,0.0,5.627058131354196,0.01297680169643302,0.11090959821428571,0.4970559754541942,0.00036808800000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1194072961807251,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,54924-1788705804587025400,54924,20480,80,34,7,39,0.425,0.46,0.425,1.3734737876802683e-05,0.038618993014097214,0.09277493506669998,0.2735394239425659,13,4,2,7,0.3076923076923077,0.23076923076923078,0.46153846153846156,0.23076923076923078,0.4726935029029846,-0.000732421875,0.0025390624068677425,-0.0008735039737075567,0.018144074827432632,-0.00043945328798145056,-0.0439453125,-0.00551757775247097,0.0,0.0,0.0,0.0,1.3734737876802683e-05,-0.0011718751629814506,0.0068567051202990115,5.846065580303752,1.0,4.704318009808715,-0.035351327886538844,0.038155611870544295,0.03428974002599716,0.002962350845336914,0.035114891827106476,0.03803476691246033,0.04146735370159149,0.04529565945267677,0.0,0.0,0.0,6.680103029523577,0.015201503469143063,0.13434709821428573,0.6682947065149035,0.00036732,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.19863304495811462,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,54924-1788705804587025400,54924,22528,87,39,9,39,0.4482758620689655,0.46,0.4482758620689655,0.0018311658641323447,0.03537221625447273,0.193734809756279,0.21691736578941345,7,5,2,0,0.7142857142857143,0.8571428571428571,2.0,1.1428571428571428,0.5634503364562988,0.00146484375,0.003173828125,-0.0015230693388730288,0.024567827582359314,0.002685546875,0.2685546875,-0.005097656510770321,0.0,0.0,0.0,0.0,0.0018311658641323447,0.004150390625,0.008935017685871571,2.152295096506745,1.0,1.2279394957612115,-0.039991978264879435,0.019887158763594925,0.016255605965852737,0.0019482456846162677,0.018057743087410927,0.01977883279323578,0.021595146507024765,0.025069216266274452,0.0,0.0,0.0,6.116419285535812,0.014653969039500225,0.1278076171875,0.5250597707927227,0.000366552,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1433214396238327,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,79788-1788706318284261500,79788,2048,0,0,0,0,0.0,0.0,0.0,0.000985211692750454,0.033334825187921524,0.11110475659370422,0.1497517079114914,0,0,0,0,0.0,0.0,0.0,0.0,-0.020614027976989746,0.0,0.0029296875,9.143003262579441e-05,0.017882496118545532,0.0021972658578306437,0.2197265625,-0.005441405810415745,0.0,0.0,0.0,0.0,0.000985211692750454,0.0021972658578306437,0.007423169037792832,3.3768295182996555,1.0,2.475317437621303,-0.0210381556826178,0.020944841438904405,0.01747959852218628,0.0019175326451659203,0.018180834129452705,0.02075890824198723,0.023471299558877945,0.023620979860424995,0.0,0.0,0.0,6.775095701217651,0.007714226252574008,0.0565185546875,0.2037857910618186,0.000374232,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15128733217716217,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,79788-1788706318284261500,79788,4096,16,7,1,8,0.4375,0.4375,0.4375,0.0001431537966709584,0.02230406552553177,0.10371536761522293,0.11400726437568665,16,7,1,8,0.4375,0.5,0.75,0.25,-0.05707848072052002,0.0009765625,0.0002929687616415322,-0.0015896130353212357,0.034373246133327484,-0.004443359561264515,-0.4443359375,-0.004441406577825546,0.0,0.0,0.0,0.0,0.0001431537966709584,-0.003466797061264515,0.008488877036143094,2.4479163244482556,1.0,1.2807573509523678,-0.01934934130986221,0.011960359523072839,0.009962549433112144,0.0013994011096656322,0.010064279660582542,0.012249907478690147,0.01347256451845169,0.01458328403532505,0.0,0.0,0.0,5.466300338506699,0.009888943204714451,0.086181640625,0.23055547662079334,0.000373464,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.11721579730510712,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,79788-1788706318284261500,79788,6144,17,8,1,8,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.0004012204590253532,0.033040523529052734,0.09608003497123718,0.198816180229187,1,1,0,0,1.0,3.0,3.0,0.0,0.15057194232940674,0.00048828125,0.0023437500931322575,-0.0011999921407550573,0.021292585879564285,-0.0003417969564907253,-0.0341796875,-0.005619140341877937,0.0,0.0,0.0,0.0,0.0004012204590253532,0.00014648429350927472,0.0073668985278345644,49.95039371681493,1.0,38.09992378289808,-0.030248569732066244,0.03237074869684875,0.025914549827575684,0.0030148373916745186,0.028894927352666855,0.03231022506952286,0.03589704632759094,0.03775767609477043,0.0,0.0,0.0,6.876117914915085,0.016428226146672387,0.1341552734375,0.46030071564018726,0.000372696,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.18323779106140137,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,79788-1788706318284261500,79788,8192,32,13,3,16,0.40625,0.40625,0.40625,-0.0006556783919222653,0.02913677878677845,0.06627160310745239,0.18217703700065613,15,5,2,8,0.3333333333333333,0.26666666666666666,0.6,0.3333333333333333,0.19908571243286133,-0.00048828125,0.0016601562965661287,-0.0008429228328168392,0.02720694988965988,-0.005322265438735485,-0.5322265625,-0.005068359896540642,0.0,0.0,0.0,0.0,-0.0006556783919222653,-0.005810546688735485,0.00825116306077689,1.4197877953506095,1.0,0.8721189328762752,-0.024723167822230607,0.025251757935620844,0.021364815533161163,0.002069704933091998,0.022749576717615128,0.025380205363035202,0.027554679661989212,0.029350891709327698,0.0,0.0,0.0,6.2190563678741455,0.011911006855370943,0.102783203125,0.37259121239185333,0.000371928,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16303719580173492,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,79788-1788706318284261500,79788,10240,33,13,3,17,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.0007561581442132592,0.036474067717790604,0.09451494365930557,0.2190668284893036,1,0,0,1,0.0,0.0,0.0,0.0,0.3459199070930481,-0.000244140625,0.002734375186264515,-0.0013132930034771562,0.021856732666492462,0.0010253905784338713,0.1025390625,-0.0054316408932209015,0.0,0.0,0.0,0.0,0.0007561581442132592,0.0007812499534338713,0.007870235102018341,10.061023420289233,1.0,6.943612932640556,-0.032791740784887224,0.030089681269600987,0.02502124011516571,0.0029940400272607803,0.026908986270427704,0.029232675209641457,0.03408219665288925,0.03455614298582077,0.0,0.0,0.0,6.654434710741043,0.013437462745059747,0.1129150390625,0.3927221968770027,0.00037116,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1771707683801651,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,79788-1788706318284261500,79788,12288,48,22,5,21,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.0015079218428581953,0.030925825238227844,0.1410631239414215,0.20096272230148315,15,9,2,4,0.6,0.5333333333333333,1.0,0.4666666666666667,0.45735782384872437,0.00244140625,0.0023437500931322575,-0.0010795583948493004,0.026164313778281212,0.000244140625,0.0244140625,-0.005087890662252903,0.0,0.0,0.0,0.0,0.0015079218428581953,0.002685546875,0.008614938938990235,3.2066959334146126,1.0,1.8938402711670173,-0.032133987406268716,0.020949305035173893,0.017761671915650368,0.001373229781165719,0.019373849034309387,0.020937014371156693,0.02266407571732998,0.022846559062600136,0.0,0.0,0.0,6.252936244010925,0.014394979087228421,0.130615234375,0.37998189963400364,0.00037039200000000004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.14803768694400787,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,79788-1788706318284261500,79788,14336,50,23,5,22,0.46,0.46,0.46,0.0015635767485946417,0.0369706004858017,0.1919078528881073,0.18199221789836884,2,1,0,1,0.5,1.0,1.5,0.5,0.47692298889160156,0.000244140625,0.002978515811264515,-0.0011956372763961554,0.02692759968340397,0.002148437313735485,0.21484375,-0.005156250204890966,0.0,0.0,0.0,0.0,0.0015635767485946417,0.002392577938735485,0.009411506413016468,3.9319824354616664,1.0,2.15420192568076,-0.03740000620018691,0.016604988311883062,0.012327434495091438,0.0020373843144625425,0.01484679151326418,0.016454001888632774,0.0195925273001194,0.020611952990293503,0.0,0.0,0.0,6.255214095115662,0.018373099082964472,0.1556396484375,0.4962271973490715,0.000369624,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.13162417709827423,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,79788-1788706318284261500,79788,16384,64,30,5,29,0.46875,0.48,0.46875,-0.0008656923891976476,0.030532971024513245,0.10622796416282654,0.1747530996799469,14,7,0,7,0.5,0.7142857142857143,1.0714285714285714,0.35714285714285715,0.1454082727432251,0.001708984375,-0.0002929687616415322,-0.001457454520277679,0.02233751304447651,-0.0048828125,-0.48828125,-0.005195312667638063,0.0,0.0,0.0,0.0,-0.0008656923891976476,-0.003173828125,0.004927045869408175,1.5519094815276575,1.0,1.6364075354907797,-0.03226883187224822,0.023367414517062052,0.017066918313503265,0.004673816729336977,0.018815044313669205,0.022712916135787964,0.02907818742096424,0.034641116857528687,0.0,0.0,0.0,6.33931394985744,0.017915640949338143,0.14983258928571427,0.523224196263722,0.00036885600000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16154898703098297,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
