condition,opponent,seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
learned_qphi_switching,OP5,2000,0,0,0,3,-1,0,-0.12682069838047028,0.04126089811325073,0.007975231856107712,0.1314428299665451,0.2163558006286621,0.25595608353614807,0.24757663905620575,0.28011152148246765
learned_qphi_switching,OP5,2000,0,1,32,1,3,1,-0.08112987875938416,0.023728463798761368,-0.03228861093521118,0.0049156807363033295,0.2352684885263443,0.2612781822681427,0.24704454839229584,0.25640878081321716
learned_qphi_switching,OP5,2000,0,2,64,1,1,0,-0.02027282863855362,0.05863748490810394,-0.059263601899147034,0.012156076729297638,0.24528878927230835,0.2654287815093994,0.2359088510274887,0.2533736228942871
learned_qphi_switching,OP5,2000,0,3,96,3,1,1,-0.09714023768901825,0.019136421382427216,-0.04548225551843643,0.070892333984375,0.22939476370811462,0.25768065452575684,0.24155627191066742,0.2713683247566223
learned_qphi_switching,OP5,2000,0,4,128,3,3,0,-0.02849671058356762,0.018734082579612732,-0.07317401468753815,0.04259565845131874,0.24519716203212738,0.2570558488368988,0.234483540058136,0.26326340436935425
learned_qphi_switching,OP5,2001,0,0,0,3,3,0,-0.13292157649993896,0.04654022306203842,-0.003062032163143158,0.1283332258462906,0.21580559015274048,0.2582271695137024,0.24573104083538055,0.2802361845970154
learned_qphi_switching,OP5,2001,0,1,32,1,3,1,-0.08885321021080017,0.1041351854801178,-0.02600272372364998,0.02672896906733513,0.22725914418697357,0.2756355106830597,0.24200089275836945,0.2551044523715973
learned_qphi_switching,OP5,2001,0,2,64,1,1,0,-0.06456699967384338,0.06769845634698868,-0.049735233187675476,0.048921097069978714,0.23383432626724243,0.2669011354446411,0.23732833564281464,0.2619361877441406
learned_qphi_switching,OP5,2001,0,3,96,1,1,0,-0.07131032645702362,0.07948054373264313,-0.03914257511496544,0.0610087551176548,0.23057855665683746,0.26810601353645325,0.23811635375022888,0.2631990611553192
learned_qphi_switching,OP5,2002,0,0,0,3,1,1,-0.1305226981639862,0.03905831277370453,0.0070234984159469604,0.13086168467998505,0.2159365564584732,0.2558434307575226,0.24777741730213165,0.28044256567955017
learned_qphi_switching,OP5,2002,0,1,32,1,3,1,-0.10223028063774109,0.09284675121307373,-0.022833459079265594,0.02617683634161949,0.22547639906406403,0.27404505014419556,0.24410836398601532,0.2563702166080475
learned_qphi_switching,OP5,2002,0,2,64,1,1,0,-0.061629023402929306,0.0831575021147728,-0.04064731299877167,0.047703180462121964,0.23296290636062622,0.2692568302154541,0.23790250718593597,0.2598777711391449
learned_qphi_switching,OP5,2002,0,3,96,3,1,1,-0.07886078953742981,0.013582228682935238,-0.05761169269680977,0.044738706201314926,0.2353002429008484,0.25808921456336975,0.24035364389419556,0.2662569284439087
learned_qphi_switching,OP5,2002,0,4,128,1,3,1,-0.04108194261789322,0.04681289941072464,-0.06276369094848633,-0.002616308629512787,0.24333031475543976,0.26568588614463806,0.23811128735542297,0.2528725266456604
