condition,condition_display,opponent,map,cell_seed,episode_index,episode_seed,return,success,steps,blue_score,red_score,score_margin,strategy_switches,strategy_resamples,strategy_unique_count,strategy_entropy_mean,strategy_dominant,checkpoint
fixed_z2,fixed_z2,OP8,map_b,9100,0,1016020432,-6.693783697090112,1,180,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
fixed_z2,fixed_z2,OP8,map_b,9100,1,1016020432,-6.693783697090112,1,180,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
fixed_z2,fixed_z2,OP9,map_b,10100,0,337479914,-2.3076487706566695,1,110,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
fixed_z2,fixed_z2,OP9,map_b,10100,1,337479914,-2.3076487706566695,1,110,3,1,2,0,0,1,0.0,2,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
uniform_episode_fixed,uniform_z_episode_fixed,OP8,map_b,9100,0,1016020432,-2.0947583149536513,1,99,3,1,2,0,1,1,1.3855077979540584,1,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
uniform_episode_fixed,uniform_z_episode_fixed,OP8,map_b,9100,1,1016020432,-2.0947583149536513,1,99,3,1,2,0,1,1,1.3855077979540584,1,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
uniform_episode_fixed,uniform_z_episode_fixed,OP9,map_b,10100,0,337479914,-0.11179999710293487,1,93,3,0,3,0,1,1,1.3857233998596028,1,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
uniform_episode_fixed,uniform_z_episode_fixed,OP9,map_b,10100,1,337479914,-0.11179999710293487,1,93,3,0,3,0,1,1,1.3857233998596028,1,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
qphi_initial_only_no_switch,learned_router_start_only,OP8,map_b,9100,0,1016020432,-2.5691873488249257,1,156,3,1,2,0,1,1,1.3854524882940145,0,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
qphi_initial_only_no_switch,learned_router_start_only,OP8,map_b,9100,1,1016020432,-2.5691873488249257,1,156,3,1,2,0,1,1,1.3854524882940145,0,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
qphi_initial_only_no_switch,learned_router_start_only,OP9,map_b,10100,0,337479914,-0.8137571918196045,1,96,3,0,3,0,1,1,1.3856788265208404,0,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
qphi_initial_only_no_switch,learned_router_start_only,OP9,map_b,10100,1,337479914,-0.8137571918196045,1,96,3,0,3,0,1,1,1.3856788265208404,0,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
shuffled_qphi_initial_only_no_switch,shuffled_router_start_only,OP8,map_b,9100,0,1016020432,-2.5691873488249257,1,156,3,1,2,0,1,1,1.3844902515411377,0,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
shuffled_qphi_initial_only_no_switch,shuffled_router_start_only,OP8,map_b,9100,1,1016020432,-2.5691873488249257,1,156,3,1,2,0,1,1,1.3844902515411377,0,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
shuffled_qphi_initial_only_no_switch,shuffled_router_start_only,OP9,map_b,10100,0,337479914,-0.8137571918196045,1,96,3,0,3,0,1,1,1.3844902515411377,0,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
shuffled_qphi_initial_only_no_switch,shuffled_router_start_only,OP9,map_b,10100,1,337479914,-0.8137571918196045,1,96,3,0,3,0,1,1,1.3843027353286743,0,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9100,0,1016020432,-2.890362682257546,1,124,3,1,2,3,4,2,1.3855331020970498,0,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b,9100,1,1016020432,-2.890362682257546,1,124,3,1,2,3,4,2,1.3855331020970498,0,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10100,0,337479914,-0.6316945978032891,1,90,3,0,3,1,3,2,1.3857401371002198,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10100,1,337479914,-0.6316945978032891,1,90,3,0,3,1,3,2,1.3857401371002198,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
