step,policy,pole,seed,blue,red,win,margin
400000,pi_A,B,17300007,1,0,1,1
400000,pi_A,B,17300008,0,0,0,0
400000,pi_A,B,17300009,3,0,1,3
400000,pi_A,B,17300010,0,0,0,0
400000,pi_A,B,17300011,1,0,1,1
400000,pi_A,B,17300012,3,0,1,3
400000,pi_A,B,17300013,3,0,1,3
400000,pi_A,B,17300014,3,0,1,3
400000,pi_A,B,17300015,3,0,1,3
400000,pi_A,B,17300016,2,0,1,2
400000,pi_A,B,17300017,3,0,1,3
400000,pi_A,B,17300018,3,0,1,3
400000,pi_A,B,17300019,2,0,1,2
400000,pi_A,B,17300020,0,0,0,0
400000,pi_A,B,17300021,2,0,1,2
400000,pi_A,B,17300022,0,0,0,0
400000,pi_A,B,17300023,3,0,1,3
400000,pi_A,B,17300024,3,0,1,3
400000,pi_B,A,17300001,1,0,1,1
400000,pi_B,A,17300002,1,0,1,1
400000,pi_B,A,17300003,0,0,0,0
400000,pi_B,A,17300004,0,0,0,0
400000,pi_B,A,17300005,0,0,0,0
400000,pi_B,A,17300006,0,0,0,0
400000,pi_B,A,17300007,0,0,0,0
400000,pi_B,A,17300008,3,0,1,3
400000,pi_B,A,17300009,1,0,1,1
400000,pi_B,A,17300010,3,0,1,3
400000,pi_B,A,17300011,2,1,1,1
400000,pi_B,A,17300012,1,0,1,1
400000,pi_B,A,17300013,0,0,0,0
400000,pi_B,A,17300014,0,0,0,0
400000,pi_B,A,17300015,0,0,0,0
400000,pi_B,A,17300016,1,0,1,1
400000,pi_B,A,17300017,1,0,1,1
400000,pi_B,A,17300018,1,0,1,1
400000,pi_B,A,17300019,0,0,0,0
400000,pi_B,A,17300020,0,0,0,0
400000,pi_B,A,17300021,0,0,0,0
400000,pi_B,A,17300022,1,0,1,1
400000,pi_B,A,17300023,0,0,0,0
400000,pi_B,A,17300024,2,0,1,2
400000,pi_B,B,17300001,0,0,0,0
400000,pi_B,B,17300002,1,0,1,1
400000,pi_B,B,17300003,2,1,1,1
400000,pi_B,B,17300004,3,0,1,3
400000,pi_B,B,17300005,3,0,1,3
400000,pi_B,B,17300006,0,0,0,0
400000,pi_B,B,17300007,3,0,1,3
400000,pi_B,B,17300008,0,0,0,0
400000,pi_B,B,17300009,3,0,1,3
400000,pi_B,B,17300010,0,0,0,0
400000,pi_B,B,17300011,1,1,0,0
400000,pi_B,B,17300012,1,0,1,1
400000,pi_B,B,17300013,2,0,1,2
400000,pi_B,B,17300014,1,0,1,1
400000,pi_B,B,17300015,2,0,1,2
400000,pi_B,B,17300016,3,0,1,3
400000,pi_B,B,17300017,1,0,1,1
400000,pi_B,B,17300018,0,0,0,0
400000,pi_B,B,17300019,0,0,0,0
400000,pi_B,B,17300020,1,0,1,1
400000,pi_B,B,17300021,1,0,1,1
400000,pi_B,B,17300022,0,0,0,0
400000,pi_B,B,17300023,2,0,1,2
400000,pi_B,B,17300024,3,0,1,3
600000,pi_A,A,17300001,1,0,1,1
600000,pi_A,A,17300002,1,0,1,1
600000,pi_A,A,17300003,0,0,0,0
600000,pi_A,A,17300004,1,0,1,1
600000,pi_A,A,17300005,2,0,1,2
600000,pi_A,A,17300006,1,0,1,1
600000,pi_A,A,17300007,0,0,0,0
600000,pi_A,A,17300008,1,0,1,1
600000,pi_A,A,17300009,1,0,1,1
600000,pi_A,A,17300010,3,1,1,2
600000,pi_A,A,17300011,1,0,1,1
600000,pi_A,A,17300012,1,0,1,1
600000,pi_A,A,17300013,1,0,1,1
600000,pi_A,A,17300014,1,0,1,1
600000,pi_A,A,17300015,1,0,1,1
600000,pi_A,A,17300016,0,0,0,0
600000,pi_A,A,17300017,0,0,0,0
600000,pi_A,A,17300018,2,0,1,2
600000,pi_A,A,17300019,0,0,0,0
600000,pi_A,A,17300020,2,0,1,2
600000,pi_A,A,17300021,1,0,1,1
600000,pi_A,A,17300022,1,0,1,1
600000,pi_A,A,17300023,0,0,0,0
600000,pi_A,A,17300024,1,0,1,1
600000,pi_A,B,17300001,0,0,0,0
600000,pi_A,B,17300002,3,0,1,3
600000,pi_A,B,17300003,0,0,0,0
600000,pi_A,B,17300004,2,0,1,2
600000,pi_A,B,17300005,3,0,1,3
600000,pi_A,B,17300006,3,1,1,2
600000,pi_A,B,17300007,0,0,0,0
600000,pi_A,B,17300008,0,0,0,0
600000,pi_A,B,17300009,1,0,1,1
600000,pi_A,B,17300010,0,0,0,0
600000,pi_A,B,17300011,3,0,1,3
600000,pi_A,B,17300012,2,0,1,2
600000,pi_A,B,17300013,1,0,1,1
600000,pi_A,B,17300014,1,0,1,1
600000,pi_A,B,17300015,3,0,1,3
600000,pi_A,B,17300016,3,0,1,3
600000,pi_A,B,17300017,2,0,1,2
600000,pi_A,B,17300018,3,0,1,3
600000,pi_A,B,17300019,0,0,0,0
600000,pi_A,B,17300020,0,0,0,0
600000,pi_A,B,17300021,3,0,1,3
600000,pi_A,B,17300022,0,0,0,0
600000,pi_A,B,17300023,3,0,1,3
600000,pi_A,B,17300024,3,0,1,3
600000,pi_B,A,17300001,1,0,1,1
600000,pi_B,A,17300002,0,0,0,0
600000,pi_B,A,17300003,0,0,0,0
600000,pi_B,A,17300004,1,0,1,1
600000,pi_B,A,17300005,1,0,1,1
600000,pi_B,A,17300006,0,0,0,0
600000,pi_B,A,17300007,2,0,1,2
600000,pi_B,A,17300008,2,0,1,2
600000,pi_B,A,17300009,1,0,1,1
600000,pi_B,A,17300010,1,0,1,1
600000,pi_B,A,17300011,1,0,1,1
600000,pi_B,A,17300012,0,0,0,0
600000,pi_B,A,17300013,1,1,0,0
600000,pi_B,A,17300014,1,0,1,1
600000,pi_B,A,17300015,0,0,0,0
600000,pi_B,A,17300016,1,0,1,1
600000,pi_B,A,17300017,1,0,1,1
600000,pi_B,A,17300018,1,0,1,1
600000,pi_B,A,17300019,1,0,1,1
600000,pi_B,A,17300020,1,0,1,1
600000,pi_B,A,17300021,2,0,1,2
600000,pi_B,A,17300022,2,0,1,2
600000,pi_B,A,17300023,0,0,0,0
600000,pi_B,A,17300024,1,1,0,0
600000,pi_B,B,17300001,0,0,0,0
600000,pi_B,B,17300002,3,0,1,3
600000,pi_B,B,17300003,3,0,1,3
600000,pi_B,B,17300004,3,0,1,3
600000,pi_B,B,17300005,3,0,1,3
600000,pi_B,B,17300006,0,0,0,0
600000,pi_B,B,17300007,3,0,1,3
600000,pi_B,B,17300008,0,0,0,0
600000,pi_B,B,17300009,3,0,1,3
600000,pi_B,B,17300010,3,0,1,3
600000,pi_B,B,17300011,3,0,1,3
600000,pi_B,B,17300012,1,1,0,0
600000,pi_B,B,17300013,3,0,1,3
600000,pi_B,B,17300014,0,0,0,0
600000,pi_B,B,17300015,1,0,1,1
600000,pi_B,B,17300016,3,0,1,3
600000,pi_B,B,17300017,3,0,1,3
600000,pi_B,B,17300018,1,0,1,1
600000,pi_B,B,17300019,3,0,1,3
600000,pi_B,B,17300020,3,0,1,3
600000,pi_B,B,17300021,3,0,1,3
600000,pi_B,B,17300022,0,0,0,0
600000,pi_B,B,17300023,3,0,1,3
600000,pi_B,B,17300024,0,0,0,0
800000,pi_A,A,17300001,1,0,1,1
800000,pi_A,A,17300002,0,0,0,0
800000,pi_A,A,17300003,1,0,1,1
800000,pi_A,A,17300004,1,0,1,1
800000,pi_A,A,17300005,2,0,1,2
800000,pi_A,A,17300006,1,0,1,1
800000,pi_A,A,17300007,0,0,0,0
800000,pi_A,A,17300008,3,1,1,2
800000,pi_A,A,17300009,0,0,0,0
800000,pi_A,A,17300010,1,0,1,1
800000,pi_A,A,17300011,1,1,0,0
800000,pi_A,A,17300012,1,0,1,1
800000,pi_A,A,17300013,1,1,0,0
800000,pi_A,A,17300014,1,0,1,1
800000,pi_A,A,17300015,1,0,1,1
800000,pi_A,A,17300016,3,0,1,3
800000,pi_A,A,17300017,0,0,0,0
800000,pi_A,A,17300018,2,0,1,2
800000,pi_A,A,17300019,0,0,0,0
800000,pi_A,A,17300020,0,0,0,0
800000,pi_A,A,17300021,0,0,0,0
800000,pi_A,A,17300022,0,0,0,0
800000,pi_A,A,17300023,0,0,0,0
800000,pi_A,A,17300024,1,0,1,1
800000,pi_A,B,17300001,0,0,0,0
800000,pi_A,B,17300002,3,0,1,3
800000,pi_A,B,17300003,3,0,1,3
800000,pi_A,B,17300004,1,0,1,1
800000,pi_A,B,17300005,3,0,1,3
800000,pi_A,B,17300006,0,0,0,0
800000,pi_A,B,17300007,2,0,1,2
800000,pi_A,B,17300008,0,0,0,0
800000,pi_A,B,17300009,3,1,1,2
800000,pi_A,B,17300010,0,0,0,0
800000,pi_A,B,17300011,0,0,0,0
800000,pi_A,B,17300012,0,0,0,0
800000,pi_A,B,17300013,3,0,1,3
800000,pi_A,B,17300014,3,0,1,3
800000,pi_A,B,17300015,3,0,1,3
800000,pi_A,B,17300016,3,0,1,3
800000,pi_A,B,17300017,3,0,1,3
800000,pi_A,B,17300018,2,0,1,2
800000,pi_A,B,17300019,3,0,1,3
800000,pi_A,B,17300020,0,0,0,0
800000,pi_A,B,17300021,1,0,1,1
800000,pi_A,B,17300022,3,0,1,3
800000,pi_A,B,17300023,3,0,1,3
800000,pi_A,B,17300024,0,0,0,0
800000,pi_B,A,17300001,1,0,1,1
800000,pi_B,A,17300002,3,0,1,3
800000,pi_B,A,17300003,0,0,0,0
800000,pi_B,A,17300004,1,0,1,1
800000,pi_B,A,17300005,1,0,1,1
800000,pi_B,A,17300006,1,0,1,1
800000,pi_B,A,17300007,2,0,1,2
800000,pi_B,A,17300008,3,0,1,3
800000,pi_B,A,17300009,1,0,1,1
800000,pi_B,A,17300010,2,0,1,2
800000,pi_B,A,17300011,0,0,0,0
800000,pi_B,A,17300012,0,0,0,0
800000,pi_B,A,17300013,1,0,1,1
800000,pi_B,A,17300014,1,0,1,1
800000,pi_B,A,17300015,0,0,0,0
800000,pi_B,A,17300016,3,0,1,3
800000,pi_B,A,17300017,0,0,0,0
800000,pi_B,A,17300018,1,0,1,1
800000,pi_B,A,17300019,0,0,0,0
800000,pi_B,A,17300020,1,1,0,0
800000,pi_B,A,17300021,1,0,1,1
800000,pi_B,A,17300022,1,0,1,1
800000,pi_B,A,17300023,0,0,0,0
800000,pi_B,A,17300024,1,0,1,1
800000,pi_B,B,17300001,0,0,0,0
800000,pi_B,B,17300002,3,0,1,3
800000,pi_B,B,17300003,3,0,1,3
800000,pi_B,B,17300004,2,0,1,2
800000,pi_B,B,17300005,3,0,1,3
800000,pi_B,B,17300006,0,0,0,0
800000,pi_B,B,17300007,3,0,1,3
800000,pi_B,B,17300008,0,0,0,0
800000,pi_B,B,17300009,3,0,1,3
800000,pi_B,B,17300010,2,0,1,2
800000,pi_B,B,17300011,3,0,1,3
800000,pi_B,B,17300012,1,0,1,1
800000,pi_B,B,17300013,3,0,1,3
800000,pi_B,B,17300014,3,0,1,3
800000,pi_B,B,17300015,3,0,1,3
800000,pi_B,B,17300016,3,0,1,3
800000,pi_B,B,17300017,0,0,0,0
800000,pi_B,B,17300018,3,0,1,3
800000,pi_B,B,17300019,0,0,0,0
800000,pi_B,B,17300020,3,0,1,3
800000,pi_B,B,17300021,3,0,1,3
800000,pi_B,B,17300022,2,0,1,2
800000,pi_B,B,17300023,2,0,1,2
800000,pi_B,B,17300024,0,0,0,0
1000000,pi_A,A,17300001,0,0,0,0
1000000,pi_A,A,17300002,0,0,0,0
1000000,pi_A,A,17300003,1,0,1,1
1000000,pi_A,A,17300004,1,0,1,1
1000000,pi_A,A,17300005,1,0,1,1
1000000,pi_A,A,17300006,0,0,0,0
1000000,pi_A,A,17300007,1,1,0,0
1000000,pi_A,A,17300008,1,0,1,1
1000000,pi_A,A,17300009,0,0,0,0
1000000,pi_A,A,17300010,2,0,1,2
1000000,pi_A,A,17300011,2,0,1,2
1000000,pi_A,A,17300012,0,0,0,0
1000000,pi_A,A,17300013,2,0,1,2
1000000,pi_A,A,17300014,1,1,0,0
1000000,pi_A,A,17300015,3,0,1,3
1000000,pi_A,A,17300016,3,0,1,3
1000000,pi_A,A,17300017,1,0,1,1
1000000,pi_A,A,17300018,1,1,0,0
1000000,pi_A,A,17300019,0,0,0,0
1000000,pi_A,A,17300020,0,0,0,0
1000000,pi_A,A,17300021,1,0,1,1
1000000,pi_A,A,17300022,1,0,1,1
1000000,pi_A,A,17300023,0,0,0,0
1000000,pi_A,A,17300024,1,0,1,1
1000000,pi_A,B,17300001,2,0,1,2
1000000,pi_A,B,17300002,3,0,1,3
1000000,pi_A,B,17300003,1,0,1,1
1000000,pi_A,B,17300004,3,0,1,3
1000000,pi_A,B,17300005,3,0,1,3
1000000,pi_A,B,17300006,0,0,0,0
1000000,pi_A,B,17300007,2,0,1,2
